Exercice_number,Category_number,Used_pattern
132,6,"[20, 10]"
133,0,"[4, 3, 5, 6, 7, 10, 12]"
133,1,"[1, 2, 5]"
133,2,"[5, 1, 7, 9]"
133,3,[1]
133,4,[6]
133,5,"[3, 1]"
133,6,"[21, 20]"
134,0,"[1, 4, 5, 6, 7, 9, 12]"
134,1,"[6, 1, 2]"
134,2,"[5, 4, 1, 9]"
134,3,[2]
134,4,[7]
134,5,"[2, 3]"
134,6,"[2, 16]"
135,0,"[3, 4, 6, 5, 8, 9, 11]"
135,1,"[3, 6, 2]"
135,2,"[3, 5, 4, 11]"
135,3,[4]
135,4,[1]
135,5,"[3, 2]"
135,6,"[21, 9]"
136,0,"[2, 4, 5, 6, 7, 9, 11]"
136,1,"[3, 4, 5]"
136,2,"[6, 4, 8, 10]"
136,3,[2]
136,4,[1]
136,5,"[1, 5]"
136,6,"[4, 15]"
137,0,"[1, 3, 5, 6, 8, 10, 11]"
137,1,"[6, 4, 5]"
137,2,"[4, 1, 7, 9]"
137,3,[3]
137,4,[1]
137,5,"[2, 1]"
137,6,"[11, 6]"
138,0,"[3, 2, 6, 5, 8, 10, 12]"
138,1,"[4, 6, 5]"
138,2,"[5, 2, 3, 12]"
138,3,[1]
138,4,[4]
138,5,"[5, 1]"
138,6,"[7, 20]"
139,0,"[1, 3, 6, 5, 8, 9, 11]"
139,1,"[2, 4, 5]"
139,2,"[7, 1, 3, 10]"
139,3,[1]
139,4,[6]
139,5,"[4, 2]"
139,6,"[11, 7]"
140,0,"[1, 2, 5, 6, 7, 9, 11]"
140,1,"[4, 5, 2]"
140,2,"[6, 1, 8, 10]"
140,3,[4]
140,4,[3]
140,5,"[3, 1]"
140,6,"[7, 11]"
141,0,"[1, 2, 6, 5, 8, 9, 11]"
141,1,"[3, 6, 4]"
141,2,"[3, 1, 8, 9]"
141,3,[3]
141,4,[7]
141,5,"[2, 4]"
141,6,"[7, 5]"
142,0,"[2, 1, 5, 6, 7, 9, 11]"
142,1,"[4, 2, 1]"
142,2,"[5, 3, 2, 11]"
142,3,[2]
142,4,[2]
142,5,"[4, 3]"
142,6,"[15, 10]"
143,0,"[1, 3, 6, 5, 8, 9, 11]"
143,1,"[2, 1, 5]"
143,2,"[8, 7, 5, 11]"
143,3,[1]
143,4,[2]
143,5,"[4, 1]"
143,6,"[4, 6]"
144,0,"[1, 4, 6, 5, 8, 10, 12]"
144,1,"[3, 6, 4]"
144,2,"[5, 7, 3, 11]"
144,3,[4]
144,4,[6]
144,5,"[5, 4]"
144,6,"[2, 8]"
145,0,"[4, 1, 5, 6, 7, 10, 11]"
145,1,"[1, 6, 3]"
145,2,"[6, 7, 3, 12]"
145,3,[3]
145,4,[4]
145,5,"[2, 3]"
145,6,"[1, 5]"
146,0,"[1, 3, 6, 5, 7, 9, 12]"
146,1,"[5, 6, 3]"
146,2,"[5, 8, 4, 9]"
146,3,[1]
146,4,[6]
146,5,"[5, 1]"
146,6,"[7, 10]"
147,0,"[1, 4, 6, 5, 8, 9, 12]"
147,1,"[3, 5, 4]"
147,2,"[2, 5, 6, 10]"
147,3,[4]
147,4,[4]
147,5,"[2, 5]"
147,6,"[2, 5]"
148,0,"[1, 3, 5, 6, 8, 9, 12]"
148,1,"[1, 3, 4]"
148,2,"[4, 7, 5, 9]"
148,3,[4]
148,4,[6]
148,5,"[2, 1]"
148,6,"[10, 20]"
149,0,"[3, 2, 5, 6, 7, 9, 12]"
149,1,"[4, 1, 6]"
149,2,"[7, 4, 1, 11]"
149,3,[2]
149,4,[7]
149,5,"[1, 5]"
149,6,"[2, 21]"
150,0,"[2, 4, 6, 5, 8, 10, 12]"
150,1,"[1, 6, 3]"
150,2,"[3, 7, 5, 13]"
150,3,[1]
150,4,[6]
150,5,"[4, 2]"
150,6,"[5, 11]"
151,0,"[4, 1, 5, 6, 7, 9, 11]"
151,1,"[3, 1, 6]"
151,2,"[1, 6, 4, 9]"
151,3,[4]
151,4,[4]
151,5,"[2, 4]"
151,6,"[2, 1]"
152,0,"[4, 1, 6, 5, 7, 10, 12]"
152,1,"[6, 4, 5]"
152,2,"[2, 4, 7, 11]"
152,3,[3]
152,4,[3]
152,5,"[3, 1]"
152,6,"[1, 20]"
153,0,"[4, 3, 6, 5, 7, 9, 11]"
153,1,"[3, 4, 1]"
153,2,"[8, 6, 1, 9]"
153,3,[1]
153,4,[3]
153,5,"[1, 4]"
153,6,"[15, 2]"
154,0,"[2, 4, 6, 5, 8, 9, 12]"
154,1,"[4, 6, 5]"
154,2,"[4, 5, 6, 9]"
154,3,[1]
154,4,[4]
154,5,"[1, 3]"
154,6,"[7, 1]"
155,0,"[1, 2, 5, 6, 8, 9, 12]"
155,1,"[6, 2, 3]"
155,2,"[3, 7, 2, 10]"
155,3,[2]
155,4,[4]
155,5,"[4, 3]"
155,6,"[7, 21]"
156,0,"[4, 2, 5, 6, 7, 9, 12]"
156,1,"[2, 6, 1]"
156,2,"[4, 6, 5, 12]"
156,3,[3]
156,4,[7]
156,5,"[4, 5]"
156,6,"[1, 9]"
157,0,"[3, 4, 6, 5, 8, 9, 12]"
157,1,"[5, 4, 6]"
157,2,"[7, 2, 5, 12]"
157,3,[3]
157,4,[1]
157,5,"[3, 1]"
157,6,"[9, 16]"
158,0,"[1, 4, 6, 5, 7, 9, 12]"
158,1,"[5, 4, 2]"
158,2,"[8, 7, 6, 11]"
158,3,[1]
158,4,[6]
158,5,"[5, 3]"
158,6,"[2, 9]"
159,0,"[2, 1, 5, 6, 8, 9, 12]"
159,1,"[5, 2, 3]"
159,2,"[1, 5, 8, 12]"
159,3,[3]
159,4,[6]
159,5,"[2, 5]"
159,6,"[10, 15]"
160,0,"[2, 1, 5, 6, 7, 9, 12]"
160,1,"[4, 2, 5]"
160,2,"[4, 2, 6, 12]"
160,3,[1]
160,4,[4]
160,5,"[4, 5]"
160,6,"[10, 11]"
161,0,"[4, 3, 5, 6, 8, 9, 12]"
161,1,"[2, 5, 6]"
161,2,"[8, 1, 3, 11]"
161,3,[3]
161,4,[1]
161,5,"[3, 5]"
161,6,"[1, 8]"
162,0,"[1, 2, 5, 6, 7, 10, 11]"
162,1,"[1, 5, 3]"
162,2,"[3, 6, 2, 11]"
162,3,[1]
162,4,[7]
162,5,"[4, 5]"
162,6,"[9, 2]"
163,0,"[2, 4, 6, 5, 7, 9, 11]"
163,1,"[5, 3, 4]"
163,2,"[5, 3, 6, 10]"
163,3,[1]
163,4,[7]
163,5,"[5, 1]"
163,6,"[8, 2]"
164,0,"[4, 2, 6, 5, 7, 9, 11]"
164,1,"[3, 5, 4]"
164,2,"[7, 2, 6, 11]"
164,3,[3]
164,4,[5]
164,5,"[3, 2]"
164,6,"[5, 11]"
165,0,"[1, 2, 6, 5, 7, 9, 11]"
165,1,"[6, 1, 3]"
165,2,"[1, 5, 6, 13]"
165,3,[1]
165,4,[1]
165,5,"[2, 4]"
165,6,"[10, 2]"
166,0,"[3, 4, 5, 6, 7, 10, 11]"
166,1,"[6, 1, 3]"
166,2,"[1, 8, 4, 13]"
166,3,[4]
166,4,[4]
166,5,"[3, 2]"
166,6,"[5, 20]"
167,0,"[2, 3, 5, 6, 7, 10, 11]"
167,1,"[1, 3, 4]"
167,2,"[8, 2, 1, 9]"
167,3,[4]
167,4,[3]
167,5,"[3, 5]"
167,6,"[7, 15]"
168,0,"[1, 4, 6, 5, 7, 10, 11]"
168,1,"[1, 5, 3]"
168,2,"[8, 4, 5, 11]"
168,3,[2]
168,4,[2]
168,5,"[5, 3]"
168,6,"[7, 8]"
169,0,"[4, 2, 5, 6, 7, 9, 11]"
169,1,"[5, 4, 2]"
169,2,"[8, 3, 4, 9]"
169,3,[2]
169,4,[7]
169,5,"[1, 5]"
169,6,"[4, 11]"
170,0,"[4, 3, 5, 6, 8, 9, 11]"
170,1,"[4, 5, 2]"
170,2,"[3, 6, 8, 10]"
170,3,[1]
170,4,[7]
170,5,"[3, 1]"
170,6,"[10, 20]"
171,0,"[3, 4, 6, 5, 8, 10, 11]"
171,1,"[3, 5, 4]"
171,2,"[2, 4, 3, 12]"
171,3,[3]
171,4,[4]
171,5,"[1, 4]"
171,6,"[11, 7]"
172,0,"[4, 1, 5, 6, 7, 9, 11]"
172,1,"[5, 4, 2]"
172,2,"[2, 8, 1, 9]"
172,3,[2]
172,4,[7]
172,5,"[2, 3]"
172,6,"[16, 4]"
173,0,"[3, 2, 5, 6, 7, 9, 11]"
173,1,"[3, 2, 4]"
173,2,"[6, 5, 4, 12]"
173,3,[1]
173,4,[3]
173,5,"[3, 1]"
173,6,"[1, 11]"
174,0,"[2, 4, 6, 5, 7, 10, 11]"
174,1,"[4, 1, 3]"
174,2,"[3, 6, 2, 12]"
174,3,[1]
174,4,[6]
174,5,"[5, 3]"
174,6,"[1, 7]"
175,0,"[4, 2, 5, 6, 7, 9, 12]"
175,1,"[1, 3, 6]"
175,2,"[8, 6, 7, 10]"
175,3,[1]
175,4,[4]
175,5,"[4, 2]"
175,6,"[16, 1]"
176,0,"[2, 4, 5, 6, 8, 9, 12]"
176,1,"[6, 1, 2]"
176,2,"[1, 6, 5, 10]"
176,3,[3]
176,4,[7]
176,5,"[4, 3]"
176,6,"[21, 7]"
177,0,"[2, 3, 6, 5, 8, 9, 12]"
177,1,"[6, 2, 4]"
177,2,"[1, 5, 2, 13]"
177,3,[1]
177,4,[2]
177,5,"[4, 5]"
177,6,"[1, 9]"
178,0,"[4, 1, 6, 5, 7, 10, 11]"
178,1,"[5, 6, 1]"
178,2,"[8, 5, 2, 12]"
178,3,[3]
178,4,[2]
178,5,"[3, 1]"
178,6,"[2, 16]"
179,0,"[4, 3, 6, 5, 7, 10, 12]"
179,1,"[4, 5, 3]"
179,2,"[8, 5, 4, 13]"
179,3,[2]
179,4,[2]
179,5,"[2, 3]"
179,6,"[2, 10]"
180,0,"[2, 1, 5, 6, 8, 10, 12]"
180,1,"[6, 5, 2]"
180,2,"[6, 4, 3, 11]"
180,3,[2]
180,4,[2]
180,5,"[1, 2]"
180,6,"[10, 5]"
181,0,"[4, 3, 5, 6, 8, 9, 11]"
181,1,"[4, 6, 2]"
181,2,"[4, 6, 1, 11]"
181,3,[1]
181,4,[3]
181,5,"[1, 2]"
181,6,"[16, 15]"
182,0,"[2, 3, 6, 5, 7, 9, 12]"
182,1,"[2, 5, 1]"
182,2,"[1, 7, 2, 9]"
182,3,[1]
182,4,[1]
182,5,"[5, 1]"
182,6,"[8, 7]"
183,0,"[4, 2, 5, 6, 7, 10, 11]"
183,1,"[5, 3, 2]"
183,2,"[3, 7, 5, 11]"
183,3,[1]
183,4,[4]
183,5,"[5, 4]"
183,6,"[5, 15]"
184,0,"[1, 3, 5, 6, 8, 9, 11]"
184,1,"[1, 2, 4]"
184,2,"[4, 1, 7, 11]"
184,3,[2]
184,4,[6]
184,5,"[2, 1]"
184,6,"[5, 4]"
185,0,"[2, 3, 6, 5, 7, 10, 12]"
185,1,"[2, 3, 4]"
185,2,"[7, 4, 1, 10]"
185,3,[4]
185,4,[6]
185,5,"[2, 1]"
185,6,"[10, 15]"
186,0,"[3, 1, 6, 5, 8, 9, 12]"
186,1,"[5, 1, 3]"
186,2,"[8, 4, 2, 10]"
186,3,[4]
186,4,[2]
186,5,"[4, 3]"
186,6,"[11, 21]"
187,0,"[4, 3, 6, 5, 8, 10, 12]"
187,1,"[2, 1, 6]"
187,2,"[5, 6, 2, 11]"
187,3,[4]
187,4,[6]
187,5,"[2, 1]"
187,6,"[11, 5]"
188,0,"[2, 4, 5, 6, 8, 9, 11]"
188,1,"[2, 1, 4]"
188,2,"[7, 6, 8, 11]"
188,3,[2]
188,4,[4]
188,5,"[3, 4]"
188,6,"[6, 15]"
189,0,"[4, 3, 6, 5, 7, 9, 12]"
189,1,"[4, 6, 3]"
189,2,"[5, 7, 4, 9]"
189,3,[3]
189,4,[7]
189,5,"[5, 1]"
189,6,"[16, 11]"
190,0,"[4, 1, 5, 6, 7, 10, 12]"
190,1,"[5, 6, 3]"
190,2,"[4, 8, 3, 13]"
190,3,[1]
190,4,[7]
190,5,"[5, 2]"
190,6,"[20, 8]"
191,0,"[1, 4, 6, 5, 7, 10, 12]"
191,1,"[5, 2, 3]"
191,2,"[3, 1, 8, 13]"
191,3,[3]
191,4,[6]
191,5,"[4, 5]"
191,6,"[1, 21]"
192,0,"[3, 2, 6, 5, 7, 10, 11]"
192,1,"[1, 5, 3]"
192,2,"[6, 7, 2, 12]"
192,3,[3]
192,4,[4]
192,5,"[2, 5]"
192,6,"[11, 6]"
193,0,"[2, 3, 5, 6, 8, 10, 11]"
193,1,"[5, 2, 4]"
193,2,"[6, 8, 5, 11]"
193,3,[3]
193,4,[6]
193,5,"[2, 4]"
193,6,"[8, 16]"
194,0,"[2, 4, 5, 6, 7, 10, 11]"
194,1,"[1, 2, 3]"
194,2,"[3, 1, 7, 10]"
194,3,[4]
194,4,[1]
194,5,"[1, 3]"
194,6,"[7, 10]"
195,0,"[2, 4, 6, 5, 7, 9, 11]"
195,1,"[5, 2, 3]"
195,2,"[4, 5, 6, 13]"
195,3,[1]
195,4,[1]
195,5,"[1, 2]"
195,6,"[5, 6]"
196,0,"[3, 2, 5, 6, 7, 10, 11]"
196,1,"[1, 5, 2]"
196,2,"[5, 6, 8, 9]"
196,3,[1]
196,4,[4]
196,5,"[5, 2]"
196,6,"[15, 21]"
197,0,"[4, 3, 6, 5, 7, 9, 12]"
197,1,"[6, 5, 3]"
197,2,"[1, 8, 3, 12]"
197,3,[3]
197,4,[6]
197,5,"[2, 4]"
197,6,"[7, 8]"
198,0,"[4, 3, 6, 5, 7, 9, 11]"
198,1,"[6, 5, 3]"
198,2,"[5, 2, 7, 12]"
198,3,[4]
198,4,[1]
198,5,"[4, 3]"
198,6,"[1, 2]"
199,0,"[4, 3, 6, 5, 7, 10, 12]"
199,1,"[2, 6, 5]"
199,2,"[5, 8, 4, 10]"
199,3,[1]
199,4,[1]
199,5,"[5, 2]"
199,6,"[5, 1]"
200,0,"[4, 1, 6, 5, 7, 9, 12]"
200,1,"[3, 2, 4]"
200,2,"[5, 4, 1, 10]"
200,3,[1]
200,4,[4]
200,5,"[4, 3]"
200,6,"[8, 10]"
201,0,"[2, 1, 5, 6, 8, 9, 12]"
201,1,"[4, 5, 2]"
201,2,"[1, 7, 5, 13]"
201,3,[2]
201,4,[2]
201,5,"[5, 3]"
201,6,"[7, 15]"
202,0,"[4, 2, 5, 6, 8, 9, 11]"
202,1,"[1, 5, 6]"
202,2,"[3, 6, 2, 13]"
202,3,[3]
202,4,[6]
202,5,"[3, 1]"
202,6,"[1, 5]"
203,0,"[2, 1, 5, 6, 8, 10, 12]"
203,1,"[2, 5, 3]"
203,2,"[7, 3, 5, 10]"
203,3,[1]
203,4,[7]
203,5,"[2, 1]"
203,6,"[8, 7]"
204,0,"[3, 4, 5, 6, 8, 10, 11]"
204,1,"[1, 6, 5]"
204,2,"[7, 5, 2, 12]"
204,3,[1]
204,4,[6]
204,5,"[4, 2]"
204,6,"[20, 15]"
205,0,"[4, 2, 5, 6, 7, 10, 12]"
205,1,"[1, 3, 6]"
205,2,"[8, 7, 4, 9]"
205,3,[3]
205,4,[6]
205,5,"[2, 5]"
205,6,"[2, 8]"
206,0,"[3, 1, 5, 6, 8, 10, 12]"
206,1,"[5, 2, 3]"
206,2,"[3, 4, 5, 9]"
206,3,[4]
206,4,[3]
206,5,"[1, 2]"
206,6,"[9, 16]"
207,0,"[4, 3, 5, 6, 8, 10, 12]"
207,1,"[6, 3, 5]"
207,2,"[1, 5, 4, 9]"
207,3,[3]
207,4,[7]
207,5,"[2, 4]"
207,6,"[7, 16]"
208,0,"[3, 2, 6, 5, 8, 9, 12]"
208,1,"[3, 1, 5]"
208,2,"[8, 4, 1, 10]"
208,3,[3]
208,4,[3]
208,5,"[3, 4]"
208,6,"[10, 9]"
209,0,"[4, 1, 6, 5, 7, 10, 11]"
209,1,"[2, 5, 3]"
209,2,"[8, 7, 3, 10]"
209,3,[3]
209,4,[7]
209,5,"[2, 5]"
209,6,"[10, 2]"
210,0,"[2, 4, 6, 5, 8, 9, 11]"
210,1,"[2, 3, 1]"
210,2,"[4, 6, 5, 11]"
210,3,[1]
210,4,[4]
210,5,"[1, 4]"
210,6,"[2, 10]"
211,0,"[1, 4, 6, 5, 8, 10, 12]"
211,1,"[2, 4, 6]"
211,2,"[2, 4, 7, 10]"
211,3,[3]
211,4,[4]
211,5,"[1, 5]"
211,6,"[5, 10]"
212,0,"[2, 4, 5, 6, 7, 9, 12]"
212,1,"[1, 2, 5]"
212,2,"[4, 3, 1, 9]"
212,3,[2]
212,4,[6]
212,5,"[3, 4]"
212,6,"[5, 16]"
213,0,"[2, 4, 5, 6, 8, 9, 12]"
213,1,"[5, 4, 3]"
213,2,"[4, 6, 3, 10]"
213,3,[4]
213,4,[6]
213,5,"[5, 3]"
213,6,"[9, 4]"
214,0,"[2, 3, 5, 6, 8, 10, 11]"
214,1,"[2, 4, 1]"
214,2,"[2, 7, 1, 11]"
214,3,[3]
214,4,[1]
214,5,"[1, 4]"
214,6,"[10, 11]"
215,0,"[3, 1, 6, 5, 7, 9, 12]"
215,1,"[4, 3, 2]"
215,2,"[4, 7, 3, 9]"
215,3,[4]
215,4,[1]
215,5,"[1, 4]"
215,6,"[5, 8]"
216,0,"[3, 4, 5, 6, 8, 9, 12]"
216,1,"[4, 2, 6]"
216,2,"[3, 7, 5, 12]"
216,3,[2]
216,4,[4]
216,5,"[2, 4]"
216,6,"[11, 9]"
217,0,"[4, 3, 6, 5, 8, 10, 11]"
217,1,"[3, 1, 4]"
217,2,"[2, 5, 8, 12]"
217,3,[3]
217,4,[3]
217,5,"[2, 1]"
217,6,"[7, 16]"
218,0,"[1, 3, 5, 6, 8, 9, 12]"
218,1,"[4, 5, 3]"
218,2,"[7, 5, 1, 12]"
218,3,[4]
218,4,[4]
218,5,"[1, 2]"
218,6,"[1, 15]"
219,0,"[2, 3, 5, 6, 7, 9, 12]"
219,1,"[1, 6, 4]"
219,2,"[5, 7, 6, 11]"
219,3,[1]
219,4,[3]
219,5,"[1, 4]"
219,6,"[4, 20]"
220,0,"[1, 3, 6, 5, 8, 10, 12]"
220,1,"[6, 5, 4]"
220,2,"[6, 2, 3, 10]"
220,3,[2]
220,4,[7]
220,5,"[4, 1]"
220,6,"[9, 15]"
221,0,"[2, 3, 6, 5, 7, 9, 11]"
221,1,"[5, 3, 1]"
221,2,"[8, 7, 1, 13]"
221,3,[1]
221,4,[3]
221,5,"[1, 2]"
221,6,"[4, 11]"
222,0,"[4, 2, 5, 6, 7, 9, 12]"
222,1,"[4, 3, 2]"
222,2,"[5, 2, 8, 13]"
222,3,[1]
222,4,[1]
222,5,"[3, 5]"
222,6,"[9, 10]"
223,0,"[3, 4, 6, 5, 8, 9, 11]"
223,1,"[2, 1, 5]"
223,2,"[2, 1, 8, 9]"
223,3,[1]
223,4,[1]
223,5,"[2, 5]"
223,6,"[16, 21]"
224,0,"[4, 1, 5, 6, 7, 9, 11]"
224,1,"[4, 3, 6]"
224,2,"[2, 8, 5, 10]"
224,3,[3]
224,4,[3]
224,5,"[1, 4]"
224,6,"[7, 21]"
225,0,"[4, 3, 6, 5, 7, 9, 12]"
225,1,"[3, 6, 1]"
225,2,"[3, 7, 6, 12]"
225,3,[3]
225,4,[2]
225,5,"[2, 5]"
225,6,"[6, 10]"
226,0,"[2, 1, 5, 6, 7, 9, 11]"
226,1,"[5, 1, 2]"
226,2,"[3, 5, 8, 11]"
226,3,[3]
226,4,[4]
226,5,"[3, 1]"
226,6,"[20, 1]"
227,0,"[3, 4, 5, 6, 8, 10, 11]"
227,1,"[3, 6, 5]"
227,2,"[3, 7, 5, 10]"
227,3,[2]
227,4,[3]
227,5,"[3, 5]"
227,6,"[7, 21]"
228,0,"[2, 3, 5, 6, 7, 10, 12]"
228,1,"[1, 3, 6]"
228,2,"[2, 1, 3, 13]"
228,3,[2]
228,4,[4]
228,5,"[4, 3]"
228,6,"[20, 16]"
229,0,"[4, 1, 5, 6, 7, 10, 11]"
229,1,"[3, 1, 2]"
229,2,"[1, 7, 8, 12]"
229,3,[4]
229,4,[6]
229,5,"[5, 1]"
229,6,"[16, 5]"
230,0,"[3, 1, 5, 6, 7, 10, 11]"
230,1,"[4, 6, 3]"
230,2,"[7, 1, 8, 12]"
230,3,[4]
230,4,[4]
230,5,"[1, 2]"
230,6,"[5, 7]"
231,0,"[3, 1, 5, 6, 8, 9, 11]"
231,1,"[6, 3, 5]"
231,2,"[5, 2, 1, 13]"
231,3,[4]
231,4,[3]
231,5,"[4, 5]"
231,6,"[7, 11]"
232,0,"[4, 1, 6, 5, 7, 10, 12]"
232,1,"[6, 5, 3]"
232,2,"[6, 7, 2, 11]"
232,3,[2]
232,4,[4]
232,5,"[5, 1]"
232,6,"[16, 9]"
233,0,"[2, 1, 5, 6, 8, 10, 12]"
233,1,"[5, 4, 1]"
233,2,"[2, 8, 3, 13]"
233,3,[1]
233,4,[1]
233,5,"[1, 4]"
233,6,"[16, 9]"
234,0,"[4, 1, 6, 5, 7, 10, 12]"
234,1,"[3, 1, 5]"
234,2,"[2, 7, 6, 13]"
234,3,[3]
234,4,[7]
234,5,"[2, 5]"
234,6,"[9, 1]"
235,0,"[3, 1, 6, 5, 8, 10, 11]"
235,1,"[6, 3, 5]"
235,2,"[5, 6, 7, 9]"
235,3,[1]
235,4,[6]
235,5,"[3, 1]"
235,6,"[9, 1]"
236,0,"[4, 1, 6, 5, 8, 9, 11]"
236,1,"[4, 3, 2]"
236,2,"[1, 7, 2, 13]"
236,3,[4]
236,4,[6]
236,5,"[1, 2]"
236,6,"[15, 21]"
237,0,"[4, 2, 6, 5, 8, 10, 12]"
237,1,"[6, 1, 2]"
237,2,"[7, 1, 6, 10]"
237,3,[3]
237,4,[4]
237,5,"[2, 1]"
237,6,"[1, 2]"
238,0,"[1, 2, 5, 6, 8, 9, 12]"
238,1,"[1, 4, 3]"
238,2,"[8, 1, 7, 12]"
238,3,[3]
238,4,[4]
238,5,"[1, 2]"
238,6,"[16, 1]"
239,0,"[4, 3, 6, 5, 8, 10, 11]"
239,1,"[3, 4, 6]"
239,2,"[3, 6, 1, 13]"
239,3,[1]
239,4,[3]
239,5,"[1, 5]"
239,6,"[8, 16]"
240,0,"[3, 2, 5, 6, 8, 10, 12]"
240,1,"[3, 2, 5]"
240,2,"[1, 5, 4, 12]"
240,3,[3]
240,4,[2]
240,5,"[5, 3]"
240,6,"[20, 9]"
241,0,"[1, 2, 6, 5, 7, 10, 12]"
241,1,"[4, 2, 5]"
241,2,"[8, 1, 4, 12]"
241,3,[4]
241,4,[6]
241,5,"[1, 5]"
241,6,"[5, 1]"
242,0,"[2, 4, 5, 6, 8, 10, 12]"
242,1,"[4, 6, 2]"
242,2,"[2, 7, 4, 12]"
242,3,[3]
242,4,[7]
242,5,"[4, 3]"
242,6,"[8, 9]"
243,0,"[3, 1, 6, 5, 8, 9, 11]"
243,1,"[5, 6, 2]"
243,2,"[2, 1, 8, 11]"
243,3,[3]
243,4,[6]
243,5,"[1, 5]"
243,6,"[16, 21]"
244,0,"[4, 1, 5, 6, 7, 10, 12]"
244,1,"[6, 4, 3]"
244,2,"[1, 2, 4, 12]"
244,3,[4]
244,4,[6]
244,5,"[2, 4]"
244,6,"[8, 20]"
245,0,"[4, 3, 5, 6, 8, 9, 12]"
245,1,"[1, 6, 3]"
245,2,"[7, 1, 8, 9]"
245,3,[2]
245,4,[1]
245,5,"[2, 3]"
245,6,"[2, 9]"
246,0,"[3, 1, 6, 5, 7, 10, 11]"
246,1,"[2, 3, 4]"
246,2,"[2, 6, 3, 12]"
246,3,[3]
246,4,[3]
246,5,"[3, 4]"
246,6,"[15, 16]"
247,0,"[4, 3, 6, 5, 8, 9, 12]"
247,1,"[4, 3, 1]"
247,2,"[7, 2, 8, 10]"
247,3,[2]
247,4,[2]
247,5,"[3, 1]"
247,6,"[16, 2]"
248,0,"[2, 1, 5, 6, 7, 10, 12]"
248,1,"[4, 1, 2]"
248,2,"[5, 1, 2, 12]"
248,3,[4]
248,4,[4]
248,5,"[3, 4]"
248,6,"[8, 1]"
249,0,"[2, 3, 5, 6, 7, 10, 11]"
249,1,"[4, 3, 6]"
249,2,"[1, 2, 7, 9]"
249,3,[1]
249,4,[1]
249,5,"[3, 2]"
249,6,"[20, 5]"
250,0,"[4, 3, 6, 5, 8, 10, 12]"
250,1,"[6, 1, 3]"
250,2,"[3, 7, 4, 9]"
250,3,[4]
250,4,[2]
250,5,"[3, 4]"
250,6,"[10, 5]"
251,0,"[2, 3, 5, 6, 8, 10, 12]"
251,1,"[1, 2, 5]"
251,2,"[3, 5, 7, 9]"
251,3,[2]
251,4,[1]
251,5,"[4, 2]"
251,6,"[8, 10]"
252,0,"[2, 4, 6, 5, 8, 10, 12]"
252,1,"[6, 3, 4]"
252,2,"[3, 8, 1, 12]"
252,3,[2]
252,4,[1]
252,5,"[4, 1]"
252,6,"[15, 11]"
253,0,"[1, 4, 5, 6, 7, 10, 11]"
253,1,"[6, 2, 3]"
253,2,"[2, 7, 5, 9]"
253,3,[2]
253,4,[3]
253,5,"[2, 4]"
253,6,"[21, 10]"
254,0,"[3, 4, 6, 5, 8, 9, 12]"
254,1,"[1, 3, 4]"
254,2,"[2, 7, 6, 11]"
254,3,[1]
254,4,[4]
254,5,"[4, 2]"
254,6,"[10, 11]"
255,0,"[4, 1, 6, 5, 8, 10, 11]"
255,1,"[6, 1, 5]"
255,2,"[1, 7, 2, 9]"
255,3,[4]
255,4,[6]
255,5,"[4, 2]"
255,6,"[15, 9]"
256,0,"[1, 3, 5, 6, 8, 10, 11]"
256,1,"[5, 2, 3]"
256,2,"[7, 3, 2, 11]"
256,3,[2]
256,4,[7]
256,5,"[1, 3]"
256,6,"[1, 2]"
257,0,"[4, 2, 5, 6, 7, 10, 12]"
257,1,"[3, 6, 1]"
257,2,"[7, 5, 2, 10]"
257,3,[2]
257,4,[2]
257,5,"[1, 4]"
257,6,"[10, 5]"
258,0,"[3, 2, 6, 5, 7, 10, 11]"
258,1,"[2, 5, 1]"
258,2,"[7, 5, 8, 10]"
258,3,[1]
258,4,[4]
258,5,"[1, 3]"
258,6,"[4, 10]"
259,0,"[2, 3, 6, 5, 7, 10, 12]"
259,1,"[6, 5, 1]"
259,2,"[3, 5, 2, 10]"
259,3,[3]
259,4,[4]
259,5,"[3, 2]"
259,6,"[8, 11]"
260,0,"[1, 2, 6, 5, 7, 9, 11]"
260,1,"[5, 4, 6]"
260,2,"[1, 8, 4, 9]"
260,3,[3]
260,4,[1]
260,5,"[3, 2]"
260,6,"[6, 7]"
261,0,"[2, 4, 5, 6, 8, 9, 12]"
261,1,"[4, 1, 5]"
261,2,"[7, 5, 6, 12]"
261,3,[2]
261,4,[4]
261,5,"[1, 5]"
261,6,"[2, 7]"
262,0,"[4, 3, 5, 6, 8, 10, 11]"
262,1,"[2, 4, 3]"
262,2,"[8, 4, 3, 10]"
262,3,[2]
262,4,[4]
262,5,"[2, 5]"
262,6,"[15, 8]"
263,0,"[1, 4, 6, 5, 8, 10, 12]"
263,1,"[6, 1, 4]"
263,2,"[8, 7, 5, 13]"
263,3,[1]
263,4,[7]
263,5,"[5, 1]"
263,6,"[7, 15]"
264,0,"[2, 4, 6, 5, 8, 10, 12]"
264,1,"[6, 3, 4]"
264,2,"[6, 2, 7, 10]"
264,3,[2]
264,4,[6]
264,5,"[4, 1]"
264,6,"[5, 11]"
265,0,"[4, 2, 5, 6, 7, 9, 11]"
265,1,"[3, 6, 1]"
265,2,"[6, 1, 7, 13]"
265,3,[4]
265,4,[1]
265,5,"[3, 5]"
265,6,"[20, 11]"
